restaurant_name,price_level,restaurant_rating,cuisine,trip_advisor_url,address
205. Charley's Aunt,$$ - $$$,4.0,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46352-d3638626-Reviews-Charley_s_Aunt-Chatham_Morris_County_New_Jersey.html,"810 Railroad Plaza, Chatham, NJ 07928"
206. Boonton Station 1904,$$ - $$$,4.0,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46315-d9872837-Reviews-Boonton_Station_1904-Boonton_Morris_County_New_Jersey.html,"202 Myrtle Ave, Boonton, NJ 07005-1765"
207. Mitsuba Japanese Cuisine,$$ - $$$,4.0,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g46352-d4613955-Reviews-Mitsuba_Japanese_Cuisine-Chatham_Morris_County_New_Jersey.html,"237 Main St, Chatham, NJ 07928-2452"
208. Jai Alai Restaurant,$$ - $$$,4.5,Spanish,https://www.tripadvisor.com/Restaurant_Review-g46397-d3598438-Reviews-Jai_Alai_Restaurant-Dover_Morris_County_New_Jersey.html,"73 W Blackwell St, Dover, NJ 07801-3849"
209. Galaxy Diner,$$ - $$$,4.0,"American, Diner",https://www.tripadvisor.com/Restaurant_Review-g46335-d4287771-Reviews-Galaxy_Diner-Butler_Morris_County_New_Jersey.html,"1277 State Rt 23, Butler, NJ 07405-2032"
210. Maddy's Mexican Restaurant,$,4.0,"Mexican, Latin",https://www.tripadvisor.com/Restaurant_Review-g46547-d4835124-Reviews-Maddy_s_Mexican_Restaurant-Lake_Hiawatha_Morris_County_New_Jersey.html,"52 N Beverwyck Rd Suite B, Lake Hiawatha, NJ 07034"
Chef Fredy's Table,$$$$,4.5,"American, Cajun & Creole",https://www.tripadvisor.com/Restaurant_Review-g60906-d648367-Reviews-Chef_Fredy_s_Table-Morristown_Morris_County_New_Jersey.html,"78 Speedwell Ave, Morristown, NJ 07960-6830"
211. Polo's Bar & Grill,$$ - $$$,4.0,"American, Bar",https://www.tripadvisor.com/Restaurant_Review-g46663-d10147459-Reviews-Polo_s_Bar_Grill-Netcong_Morris_County_New_Jersey.html,"50 State Route 183, Netcong, NJ 07857-1515"
212. Natales Pizza & Restaurant,$,4.5,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46460-d4612149-Reviews-Natales_Pizza_Restaurant-Gillette_Morris_County_New_Jersey.html,"600 Valley Rd, Gillette, NJ 07933-2024"
213. Roadhouse Deli,$,5.0,"Polish, Eastern European",https://www.tripadvisor.com/Restaurant_Review-g46315-d3863098-Reviews-Roadhouse_Deli-Boonton_Morris_County_New_Jersey.html,"710 Myrtle Ave, Boonton, NJ 07005-1918"
214. Inspiration Roll,$,4.5,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g60906-d9795282-Reviews-Inspiration_Roll-Morristown_Morris_County_New_Jersey.html,"46 S Park Pl, Morristown, NJ 07960-9200"
215. Central + Main American Eatery,$$ - $$$,4.0,American,https://www.tripadvisor.com/Restaurant_Review-g46588-d14167448-Reviews-Central_Main_American_Eatery-Madison_Morris_County_New_Jersey.html,"3 Central Ave, Madison, NJ 07940-1812"
Parsippany's Best Pizza,$$ - $$$,4.5,"Pizza, Italian",https://www.tripadvisor.com/Restaurant_Review-g46715-d7140424-Reviews-Parsippany_s_Best_Pizza-Parsippany_Morris_County_New_Jersey.html,"756 Route 46 West, Parsippany, NJ 07054"
216. IHOP,$,4.0,American,https://www.tripadvisor.com/Restaurant_Review-g46715-d1096881-Reviews-IHOP-Parsippany_Morris_County_New_Jersey.html,"792 US Highway 46, Parsippany, NJ 07054-3401"
217. Palm Thai,$$ - $$$,4.0,"Asian, Thai",https://www.tripadvisor.com/Restaurant_Review-g46588-d7368801-Reviews-Palm_Thai-Madison_Morris_County_New_Jersey.html,"75 Main St, Madison, NJ 07940-1806"
218. Benvenuti's,$$ - $$$,4.5,Italian,https://www.tripadvisor.com/Restaurant_Review-g46401-d4135131-Reviews-Benvenuti_s-East_Hanover_Morris_County_New_Jersey.html,"460 Ridgedale Ave, East Hanover, NJ 07936-1442"
219. Casa de Pasta,$$ - $$$,4.0,Italian,https://www.tripadvisor.com/Restaurant_Review-g46764-d2650366-Reviews-Casa_de_Pasta-Randolph_Morris_County_New_Jersey.html,"1438 Sussex Tpke, Randolph, NJ 07869-1816"
220. China Chalet,$$ - $$$,4.0,"Chinese, Asian",https://www.tripadvisor.com/Restaurant_Review-g46441-d1433895-Reviews-China_Chalet-Florham_Park_Morris_County_New_Jersey.html,"184 Columbia Tpke Ste 13, Florham Park, NJ 07932-1314"
221. Pomodoro Ristorante & Pizzeria,$$ - $$$,4.0,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g60906-d3959402-Reviews-Pomodoro_Ristorante_Pizzeria-Morristown_Morris_County_New_Jersey.html,"125 Morris St, Morristown, NJ 07960-4106"
222. Clay Oven,$$ - $$$,4.0,Indian,https://www.tripadvisor.com/Restaurant_Review-g46563-d3187720-Reviews-Clay_Oven-Ledgewood_Morris_County_New_Jersey.html,"1140 US Highway 46 Corner of Route 10 West & 46 East, Ledgewood, NJ 07852-9532"
223. Chimney Rock Inn Gillette,$$ - $$$,4.0,"American, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46460-d1520611-Reviews-Chimney_Rock_Inn_Gillette-Gillette_Morris_County_New_Jersey.html,"342 Valley Rd, Gillette, NJ 07933-2110"
224. Roma Pizzeria,$$ - $$$,4.5,"Italian, Pizza",https://www.tripadvisor.com/Restaurant_Review-g46315-d5010031-Reviews-Roma_Pizzeria-Boonton_Morris_County_New_Jersey.html,"709 Main St, Boonton, NJ 07005-1447"
225. Yama Sushi,$$ - $$$,4.0,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g46392-d459324-Reviews-Yama_Sushi-Denville_Morris_County_New_Jersey.html,"5 E Main St Ste 5, Denville, NJ 07834-2175"
226. Biagio's,$$ - $$$,4.0,Italian,https://www.tripadvisor.com/Restaurant_Review-g46847-d5032052-Reviews-Biagio_s-Stirling_Morris_County_New_Jersey.html,"239 Main Ave, Stirling, NJ 07980-1464"
227. Spain Rincon,$$ - $$$,4.0,"Spanish, Portuguese",https://www.tripadvisor.com/Restaurant_Review-g46924-d4622318-Reviews-Spain_Rincon-Wharton_Morris_County_New_Jersey.html,"41 Richard Mine Rd, Wharton, NJ 07885-2709"
228. V Yan Hot Pot & BBQ,$$ - $$$,4.0,Asian,https://www.tripadvisor.com/Restaurant_Review-g46715-d10643443-Reviews-V_Yan_Hot_Pot_BBQ-Parsippany_Morris_County_New_Jersey.html,"792 US Highway 46, Parsippany, NJ 07054-3401"
229. Cottage II Hunan & Szechuan,$$ - $$$,4.0,"Chinese, Asian",https://www.tripadvisor.com/Restaurant_Review-g60906-d1132398-Reviews-Cottage_II_Hunan_Szechuan-Morristown_Morris_County_New_Jersey.html,"127 South St, Morristown, NJ 07960-4141"
230. Minado,$$ - $$$,4.0,"Japanese, Sushi",https://www.tripadvisor.com/Restaurant_Review-g46644-d1129967-Reviews-Minado-Morris_Plains_Morris_County_New_Jersey.html,"2888 Rt 10 West, Morris Plains, NJ"
231. Trattoria Toscana,$$ - $$$,4.0,Italian,https://www.tripadvisor.com/Restaurant_Review-g46925-d2572159-Reviews-Trattoria_Toscana-Whippany_Morris_County_New_Jersey.html,"554 State Route 10 Ste 1, Whippany, NJ 07981-1554"
